timestamp_ns,valid_count,utilization_pct,is_allocate
233.0,1,0.20,1
238.0,2,0.39,1
243.0,3,0.59,1
248.0,4,0.78,1
253.0,5,0.98,1
258.0,6,1.17,1
263.0,7,1.37,1
268.0,8,1.56,1
273.0,9,1.76,1
278.0,10,1.95,1
283.0,11,2.15,1
288.0,12,2.34,1
293.0,13,2.54,1
297.0,14,2.73,1
298.0,15,2.93,1
302.0,16,3.12,1
303.0,17,3.32,1
307.0,18,3.52,1
308.0,19,3.71,1
312.0,20,3.91,1
317.0,21,4.10,1
322.0,22,4.30,1
327.0,23,4.49,1
332.0,24,4.69,1
337.0,25,4.88,1
342.0,26,5.08,1
347.0,27,5.27,1
352.0,28,5.47,1
357.0,29,5.66,1
362.0,30,5.86,1
367.0,31,6.05,1
372.0,32,6.25,1
377.0,33,6.45,1
382.0,34,6.64,1
387.0,35,6.84,1
392.0,36,7.03,1
393.0,37,7.23,1
397.0,38,7.42,1
398.0,39,7.62,1
402.0,40,7.81,1
403.0,41,8.01,1
407.0,42,8.20,1
408.0,43,8.40,1
412.0,44,8.59,1
413.0,45,8.79,1
418.0,46,8.98,1
423.0,47,9.18,1
428.0,48,9.38,1
433.0,49,9.57,1
438.0,50,9.77,1
443.0,51,9.96,1
448.0,52,10.16,1
453.0,53,10.35,1
454.0,54,10.55,1
458.0,55,10.74,1
459.0,56,10.94,1
463.0,57,11.13,1
464.0,58,11.33,1
468.0,59,11.52,1
469.0,60,11.72,1
470.0,61,11.91,1
474.0,62,12.11,1
475.0,63,12.30,1
479.0,64,12.50,1
480.0,65,12.70,1
485.0,66,12.89,1
486.0,67,13.09,1
489.0,68,13.28,1
490.0,69,13.48,1
491.0,70,13.67,1
494.0,71,13.87,1
495.0,72,14.06,1
496.0,73,14.26,1
501.0,74,14.45,1
502.0,75,14.65,1
505.0,76,14.84,1
506.0,77,15.04,1
507.0,78,15.23,1
510.0,79,15.43,1
511.0,80,15.62,1
512.0,81,15.82,1
517.0,82,16.02,1
521.0,83,16.21,1
522.0,84,16.41,1
526.0,85,16.60,1
527.0,86,16.80,1
528.0,87,16.99,1
532.0,88,17.19,1
533.0,89,17.38,1
537.0,90,17.58,1
538.0,91,17.77,1
543.0,92,17.97,1
548.0,93,18.16,1
553.0,94,18.36,1
558.0,95,18.55,1
560.0,96,18.75,1
563.0,97,18.95,1
565.0,98,19.14,1
570.0,99,19.34,1
575.0,100,19.53,1
580.0,101,19.73,1
585.0,102,19.92,1
590.0,103,20.12,1
592.0,104,20.31,1
595.0,105,20.51,1
597.0,106,20.70,1
602.0,107,20.90,1
607.0,108,21.09,1
612.0,109,21.29,1
617.0,110,21.48,1
622.0,111,21.68,1
624.0,112,21.88,1
627.0,113,22.07,1
629.0,114,22.27,1
634.0,115,22.46,1
639.0,116,22.66,1
644.0,117,22.85,1
649.0,118,23.05,1
654.0,119,23.24,1
656.0,120,23.44,1
659.0,121,23.63,1
661.0,122,23.83,1
666.0,123,24.02,1
671.0,124,24.22,1
676.0,125,24.41,1
681.0,126,24.61,1
686.0,127,24.80,1
688.0,128,25.00,1
691.0,129,25.20,1
693.0,130,25.39,1
698.0,131,25.59,1
703.0,132,25.78,1
708.0,133,25.98,1
713.0,134,26.17,1
718.0,135,26.37,1
723.0,136,26.56,1
728.0,137,26.76,1
733.0,138,26.95,1
738.0,139,27.15,1
743.0,140,27.34,1
748.0,141,27.54,1
753.0,142,27.73,1
758.0,143,27.93,1
763.0,144,28.12,1
768.0,145,28.32,1
773.0,146,28.52,1
778.0,147,28.71,1
783.0,148,28.91,1
784.0,149,29.10,1
788.0,150,29.30,1
789.0,151,29.49,1
793.0,152,29.69,1
794.0,153,29.88,1
798.0,154,30.08,1
799.0,155,30.27,1
803.0,156,30.47,1
804.0,157,30.66,1
809.0,158,30.86,1
814.0,159,31.05,1
816.0,160,31.25,1
819.0,161,31.45,1
821.0,162,31.64,1
826.0,163,31.84,1
831.0,164,32.03,1
836.0,165,32.23,1
841.0,166,32.42,1
846.0,167,32.62,1
848.0,168,32.81,1
851.0,169,33.01,1
853.0,170,33.20,1
858.0,171,33.40,1
863.0,172,33.59,1
868.0,173,33.79,1
873.0,174,33.98,1
878.0,175,34.18,1
880.0,176,34.38,1
883.0,177,34.57,1
885.0,178,34.77,1
890.0,179,34.96,1
